tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
803,10.9459,26.19,0,27,1.15,2.2952,1.4843,0.1067,215.1,2067,11.8,44263.4
804,10.918,26.12,0,26,1.15,2.2952,1.4843,0.1069,213.9,2072,11.81,44316.0
805,10.8844,26.61,0,25,1.0,2.2952,1.4843,0.09628,214.0,2075,11.64,44371.1
806,10.8535,26.83,0,23,1.15,2.2952,1.4843,0.09584,214.6,2078,11.49,44426.7
807,10.8143,27.14,0,20,1.15,2.2952,1.4843,0.10574,215.5,2081,11.61,44484.3
808,10.7793,26.8,0,17,1.15,2.2952,1.4843,0.10669,214.0,2087,11.65,44542.4
809,10.7447,27.19,0,15,1.15,2.2952,1.4843,0.10703,212.8,2093,11.71,44603.4
810,10.7105,26.64,0,21,1.15,2.2952,1.4843,0.10607,213.3,2097,11.76,44664.4
811,10.68,26.66,0,21,1.15,2.2952,1.4843,0.10439,213.8,2100,11.79,44724.4
812,10.653,26.51,0,24,1.15,2.2952,1.4843,0.10215,215.3,2102,11.78,44785.4
813,10.6284,26.83,0,23,1.15,2.2952,1.4843,0.09941,217.6,2103,11.73,44844.0
814,10.6064,26.83,0,25,1.15,2.2952,1.4843,0.09965,217.7,2107,11.64,44903.5
815,10.5861,27.28,0,24,1.15,2.2952,1.4843,0.09942,217.7,2111,11.6,44959.1
816,10.566,27.32,0,20,1.15,2.2952,1.4843,0.10342,213.2,2120,11.56,45014.7
817,10.5411,27.37,1,18,1.15,2.2952,1.4843,0.10093,213.8,2122,11.62,45070.3
818,10.5202,27.46,0,19,1.15,2.2952,1.4843,0.09777,216.1,2123,11.6,45128.8
819,10.4993,27.36,0,20,1.15,2.2952,1.4843,0.09776,215.9,2127,11.52,45186.4
820,10.4781,27.61,0,21,1.15,2.2952,1.4843,0.09698,216.5,2130,11.45,45247.9
821,10.4568,27.79,0,19,1.15,2.2952,1.4843,0.09717,216.5,2134,11.39,45309.4
822,10.4415,28.07,0,22,1.0,2.2952,1.4843,0.08826,216.0,2138,11.15,45369.9
823,10.4272,28.19,0,24,1.15,2.2952,1.4843,0.08711,217.9,2139,11.0,45429.5
824,10.4146,28.38,0,20,1.0,2.2952,1.4843,0.08785,218.2,2142,10.85,45488.0
825,10.4018,28.48,0,20,1.15,2.2952,1.4843,0.09094,215.9,2148,10.76,45547.6
826,10.3757,28.51,0,19,1.15,2.2952,1.4843,0.10149,216.4,2151,10.96,45606.1
827,10.3534,27.99,0,20,1.15,2.2952,1.4806,0.10507,212.5,2160,11.07,45664.7
828,10.333,28.12,0,20,1.15,2.2952,1.4843,0.10427,212.7,2164,11.22,45721.7
829,10.3101,27.92,0,21,1.15,2.2952,1.4843,0.10329,212.6,2167,11.33,45777.3
830,10.2851,27.47,0,27,1.15,2.2952,1.4843,0.10389,210.9,2172,11.39,45832.9
831,10.2664,27.45,1,26,1.15,2.2952,1.4843,0.10368,210.7,2176,11.45,45888.5
832,10.248,27.39,0,27,1.15,2.2952,1.4843,0.10174,211.9,2178,11.48,45944.1
833,10.2265,27.54,0,26,1.15,2.2952,1.4843,0.10159,211.7,2182,11.5,46002.2
834,10.2063,27.84,0,27,1.15,2.2952,1.4843,0.10132,211.4,2186,11.51,46063.2
835,10.1902,27.83,0,25,1.15,2.2952,1.4843,0.10278,209.8,2192,11.53,46122.2
836,10.1748,28.37,0,21,1.15,2.2952,1.4843,0.09943,212.1,2193,11.57,46184.2
837,10.1591,28.11,0,21,1.15,2.2952,1.4843,0.09737,213.1,2195,11.55,46243.3
838,10.143,28.21,0,21,1.15,2.2952,1.4843,0.0974,212.7,2199,11.47,46302.3
